id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
64,664,758,5,2085.5980485107057,38419.51035000395,"(551, 661, 751, 863)",25314,G1,5,5,-1
75,665,753,6,2026.5651360411632,37380.76081702658,"(550, 654, 754, 858)",25654,G1,5,5,-1
87,685,795,7,2055.7627500704425,35882.38052972668,"(604, 734, 757, 859)",14196,G1,5,5,-1
99,685,794,8,2110.0858535895986,35561.71099491238,"(604, 734, 757, 859)",14152,G1,5,5,-1
111,687,794,9,2108.1329973400534,34945.904941901164,"(607, 734, 761, 859)",14286,G1,5,5,-1
124,690,790,10,2066.836406164007,34843.298018712165,"(609, 730, 765, 857)",14536,G1,5,5,-1
136,690,789,11,2105.452903584329,34074.12420116699,"(611, 727, 765, 858)",14396,G1,5,5,-1
148,688,787,12,2049.987590840532,34870.14843000137,"(610, 722, 763, 856)",14586,G1,5,5,-1
160,690,784,13,2086.492438692098,35617.175613079016,"(609, 719, 763, 853)",14680,G1,5,5,-1
172,687,782,14,2188.043254729915,38211.30895256375,"(604, 721, 763, 852)",14588,G1,5,5,-1
184,691,782,15,2498.766946506626,41918.47075556789,"(607, 726, 769, 849)",14413,G1,5,5,-1
196,665,748,16,2846.7714962495065,45217.11444926964,"(540, 640, 768, 853)",25330,G1,5,5,-1
208,666,745,17,2776.8047566805108,47515.819449886374,"(541, 639, 771, 851)",25522,G1,5,5,-1
220,694,783,18,2771.7608981001727,47384.3298791019,"(609, 727, 771, 851)",14475,G1,5,5,-1
232,696,785,19,2722.51538827366,47940.71220870983,"(610, 728, 772, 854)",14719,G1,5,5,-1
7,700,942,0,58042.514851485146,15449.678127812782,"(644, 880, 758, 1012)",11110,S,6,6,-1
19,700,943,1,58083.72584949297,16098.411403664828,"(643, 881, 757, 1010)",11242,S,6,6,-1
31,700,948,2,58193.626675175496,16307.853313884583,"(644, 886, 757, 1013)",10969,S,6,6,-1
43,700,953,3,57589.56324692039,16712.898234969663,"(643, 892, 758, 1018)",10878,S,6,6,-1
54,701,949,4,57899.618185195504,17068.53812575462,"(644, 889, 758, 1011)",10767,S,6,6,-1
